parentInstitution,neededDocument,neededFields,currentStatus,suggestedOfficialRoute,doNotInfer
ALIGARH MUSLIM UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"ASSAM UNIVERSITY, SILCHAR",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
"CENTRAL SANSKRIT UNIVERSITY, NEW DELHI",Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL TRIBAL UNIVERSITY OF ANDHRA PRADESH,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF ANDHRA PRADESH,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF GUJARAT,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF HARYANA,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF HIMACHAL PRADESH,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
CENTRAL UNIVERSITY OF JAMMU,Official constituent/affiliated college list plus programme-wise admission bulletin/seat matrix,"Exact college name, campus, programme, Class XII eligibility, CUET subjects, category/quota, seats, counselling route, historical cutoff",unavailable / not yet verified,https://cuet.nta.nic.in/participating-universities/,Do not display NTA parent name as a college; do not infer affiliated colleges or eligibility.
