institutionId,institution,ntaType,ntaParticipationStatus,collegeInventoryStatus,programmeInventoryStatus,collegeCount,programmeCount,requiredNextDocuments,lastVerified,sourceUrl
"central-001","ALIGARH MUSLIM UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-002","ASSAM UNIVERSITY, SILCHAR","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-003","BABASAHEB BHIMRAO AMBEDKAR UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-004","BANARAS HINDU UNIVERSITY","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-005","CENTRAL SANSKRIT UNIVERSITY, NEW DELHI","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-006","CENTRAL TRIBAL UNIVERSITY OF ANDHRA PRADESH","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-007","CENTRAL UNIVERSITY OF ANDHRA PRADESH","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-008","CENTRAL UNIVERSITY OF GUJARAT","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-009","CENTRAL UNIVERSITY OF HARYANA","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
"central-010","CENTRAL UNIVERSITY OF HIMACHAL PRADESH","Central University","verified","unavailable","unavailable","","","Official admission bulletin/prospectus; programme mapping; constituent-college/campus list; category seat matrix; counselling route; historical cutoff/allocation notice","2026-07-14","https://cuet.nta.nic.in/participating-universities/central-universities/"
