id,institution,ntaType,collegeOrCampus,city,programme,classXIIStatus,classXIIStream,classXIIRequiredSubjects,minimumMarks,cuetStatus,cuetAlternatives,counsellingRoute,seatStatus,historicalCutoffStatus,verificationStatus,sourceUrls,sourceTitles,sourcePagesOrSections,admissionYears,lastVerified,notes
"du-srcc-bcom-hons-2025","University of Delhi","Central University","Shri Ram College of Commerce","Delhi","B.Com. (Hons.)","incomplete","Commerce | Science | Humanities | Any","","","verified","Any one Section I language + Mathematics/Applied Mathematics + Any two Section II subjects, at least one from B1 OR Any one Section I language + Accountancy/Book Keeping + Any two Section II subjects, at least one from B1","DU CSAS (UG)","unavailable","verified","incomplete","https://cuet.nta.nic.in/university-of-delhi/ | https://admission.uod.ac.in/userfiles/downloads/2025/07032025_UG-BOI_compressed-1.pdf | https://admission.uod.ac.in/2025/userfiles/downloads/18062025_CSAS-UG_compressed.pdf | https://admission.uod.ac.in/2025/userfiles/downloads/2025/19072025_CutOff_UG_Round_One.pdf","University of Delhi | CUET UG programme information | UG Bulletin of Information 2025, University of Delhi | CSAS UG 2025, University of Delhi | UG Round One allocation/minimum scores 2025, University of Delhi","Programme(s) Information, B.Com (Hons.) row | pp. 10-11; common eligibility and programme framework | pp. 6-9; single-window CSAS route | p. 67; SRCC B.Com (Hons.)","2025","2026-07-14","Historical scores are guidance only and are not guaranteed admission. | Class XII eligibility and CUET requirements are intentionally separate fields."
"du-miranda-ba-hons-english-2025","University of Delhi","Central University","Miranda House","Delhi","B.A. (Hons.) English","incomplete","Commerce | Science | Humanities | Any","","","verified","English + Any two Section II B1 subjects + One B1 or B2 subject","DU CSAS (UG)","verified","verified","verified","https://cuet.nta.nic.in/university-of-delhi/ | https://admission.uod.ac.in/userfiles/downloads/2025/07032025_UG-BOI_compressed-1.pdf | https://admission.uod.ac.in/2025/userfiles/downloads/18062025_CSAS-UG_compressed.pdf | https://admission.uod.ac.in/2025/userfiles/downloads/2025/19072025_CutOff_UG_Round_One.pdf","University of Delhi | CUET UG programme information | UG Bulletin of Information 2025, University of Delhi | CSAS UG 2025, University of Delhi | UG Round One allocation/minimum scores 2025, University of Delhi","Programme(s) Information, B.A. (Hons.) English row | p. 21; English programme and Miranda House seat row | pp. 6-9 | p. 48; Miranda House B.A. (Hons.) English","2025","2026-07-14","Historical scores are guidance only and are not guaranteed admission."
"du-miranda-bsc-hons-physics-2025","University of Delhi","Central University","Miranda House","Delhi","B.Sc. (Hons.) Physics","incomplete","Science","Physics | Chemistry | Mathematics/Applied Mathematics","","verified","Physics + Chemistry + Mathematics/Applied Mathematics","DU CSAS (UG)","unavailable","verified","incomplete","https://cuet.nta.nic.in/university-of-delhi/ | https://admission.uod.ac.in/2025/userfiles/downloads/18062025_CSAS-UG_compressed.pdf | https://admission.uod.ac.in/2025/userfiles/downloads/2025/19072025_CutOff_UG_Round_One.pdf","University of Delhi | CUET UG programme information | CSAS UG 2025, University of Delhi | UG Round One allocation/minimum scores 2025, University of Delhi","Programme(s) Information, B.Sc. (Hons.) Physics row | pp. 6-9 | p. 49; Miranda House B.Sc. (Hons.) Physics","2025","2026-07-14","Historical scores are guidance only and are not guaranteed admission."
"bhu-bcom-hons-2025","Banaras Hindu University","Central University","Faculty of Commerce","Varanasi","B.Com. (Hons.) / B.Com. (Hons.)-FMM","verified","Commerce | Science | Any with specified subject","One specified commerce-related subject","50","verified","Accountancy/Book Keeping (301) + Business Studies (305) + General Aptitude Test (501)","CAP-UG","verified","unavailable","verified","https://cuet.nta.nic.in/banaras-hindu-university/ | https://www.bhu.ac.in/Images/files/UG%20Bulletin%202025.pdf","Banaras Hindu University | CUET UG programme information | UG Bulletin 2025, Banaras Hindu University","Programme(s) Information, B.Com row | pp. 11-12 and 48","2025","2026-07-14","Seat-table labels FMC/MMV/RGSC/AMPG/DAVPG/VKM/VCW are kept as printed; expansion must be checked against the full bulletin before display. | Historical cutoff intentionally unavailable."
"bhu-ba-social-sciences-2025","Banaras Hindu University","Central University","Faculty of Social Sciences","Varanasi","B.A. in Economics/Geography/History/Political Science/Psychology/Sociology","verified","Any","","50","verified","English (101) or Hindi (102) + General Aptitude Test (501)","CAP-UG","unavailable","unavailable","verified","https://cuet.nta.nic.in/banaras-hindu-university/ | https://www.bhu.ac.in/Images/files/UG%20Bulletin%202025.pdf","Banaras Hindu University | CUET UG programme information | UG Bulletin 2025, Banaras Hindu University","Programme(s) Information, B.A. (Hons.) Social Sciences row | pp. 11-12 and 57","2025","2026-07-14",""
"au-bcom-2026","University of Allahabad","Central University","","","B.Com.","incomplete","Commerce | Science","","","incomplete","","University of Allahabad UG admission process","unavailable","incomplete","incomplete","https://allduniv.ac.in/upload/file_collection/UG%20Information%20Bulletin_2026.pdf | https://allduniv.ac.in/p/694/ug-admissions-2025","UG Information Bulletin 2026, University of Allahabad | UG Admissions 2025, University of Allahabad","p. 12; official PDF located, text verification incomplete | Commerce merit/cutoff notice index","2026 | 2025","2026-07-14","Do not show a cutoff score until the individual official merit notice is extracted."
"au-bca-2025","University of Allahabad","Central University","","","BCA","verified","Science | Commerce | Other with specified subject","One of Mathematics/Statistics/IT/Computer Science/Information Science where applicable","","verified","English or Hindi + Any two of Computer Science/Information Practices, Mathematics, Physics + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, BCA row","2025","2026-07-14",""
"au-ba-media-studies-2025","University of Allahabad","Central University","","","B.A. Media Studies","verified","Any","","","verified","English or Hindi + Any one listed Section II domain subject + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. Media Studies row","2025","2026-07-14",""
"au-ba-combination-01","University of Allahabad","Central University","","","B.A.-ARABIC ENGLISH LANG. MED. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 8","2025","2026-07-14",""
"au-ba-combination-02","University of Allahabad","Central University","","","B.A.-POLITICAL SCIENCE PSYCHOLOGY ANC. HISTORY","verified","Arts | Science | Commerce","","","verified","English or Hindi + Any two listed domain subjects + General Test (501)","University of Allahabad UG admission process","unavailable","unavailable","incomplete","https://cuet.nta.nic.in/university-of-allahabad/","University of Allahabad | CUET UG programme information","Programme(s) Information, B.A. row 9","2025","2026-07-14",""
